Year,Semester,Quiz/Exam,Student ID,Coding Problem,Earned Score,Maximum Score,Distance,Distance Z-score
2013,spring,quiz4,s663f70e4,FactorialWhile,5,5,6.625,0.4601486722848589
2013,spring,quiz4,s6d684e40,FactorialWhile,5,5,3.7916666666666665,-0.9804641138739992
2013,spring,quiz4,s74625dd,FactorialWhile,5,5,3.7916666666666665,-0.9804641138739992
2013,spring,quiz4,s7ccd28a3,FactorialWhile,5,5,10.958333333333334,2.663438815821936
2013,spring,quiz4,s81792444,FactorialWhile,5,5,4.708333333333333,-0.5143835065873099
2013,spring,quiz4,sae45b238,FactorialWhile,5,5,3.875,-0.9380931495752092
2013,spring,quiz4,sb7db06e9,FactorialWhile,5,5,7.916666666666667,1.1168986189161032
2013,spring,quiz4,sd51cb744,FactorialWhile,5,5,3.7916666666666665,-0.9804641138739992
2013,spring,quiz4,sdb4c4aed,FactorialWhile,5,5,6.25,0.2694793329403041
2013,spring,quiz4,sddb081b4,FactorialWhile,5,5,5.916666666666667,0.0999954757451445
2013,spring,quiz4,sea449dee,FactorialWhile,5,5,4.375,-0.6838673637824695
2013,spring,quiz4,sed47133e,FactorialWhile,5,5,3.7916666666666665,-0.9804641138739992
2013,spring,quiz4,sef55ce71,FactorialWhile,5,5,6.416666666666667,0.3542212615378842
2013,spring,quiz4,sf0f03a1e,FactorialWhile,5,5,4.708333333333333,-0.5143835065873099
2013,spring,quiz4,sfed34002,FactorialWhile,5,5,5.208333333333333,-0.2601577207945703
2013,fall,midterm1,s1ca6c9e5,FromNto1,10,10,9.928571428571429,0.0861833271949814
2013,fall,midterm1,s2f86ca57,FromNto1,10,10,10.0,0.1253575668290635
2013,fall,midterm1,s3551f054,FromNto1,10,10,7.928571428571429,-1.0106953825593197
2013,fall,midterm1,s3752a3d2,FromNto1,10,10,8.0,-0.9715211429252376
2013,fall,midterm1,s3b5db8f5,FromNto1,10,10,13.071428571428571,1.8098498710945972
2013,fall,midterm1,s3f27df0f,FromNto1,10,10,13.5,2.0448953088990907
2013,fall,midterm1,s73d002a2,FromNto1,10,10,7.285714285714286,-1.3632635392660597
2013,fall,midterm1,s7c1c9d2e,FromNto1,10,10,7.285714285714286,-1.3632635392660597
2013,fall,midterm1,s8d81cf8b,FromNto1,10,10,9.642857142857142,-0.0705136313413476
2013,fall,midterm1,s985b5480,FromNto1,10,10,9.428571428571429,-0.1880363502435938
2013,fall,midterm1,s9bd61dd,FromNto1,10,10,10.428571428571429,0.3604030046335568
2013,fall,midterm1,s9fb8e2c9,FromNto1,10,10,8.928571428571429,-0.4622560276821691
2013,fall,midterm1,scad74c3a,FromNto1,10,10,9.857142857142858,0.0470090875608994
2013,fall,midterm1,sce9b742f,FromNto1,10,10,9.357142857142858,-0.2272105898776758
2013,fall,midterm1,sfc3bcc7d,FromNto1,10,10,11.928571428571429,1.1830620369492826
2013,spring,quiz2,s18f746e0,GrowingSquares,7,7,25.857142857142858,1.0248027577425949
2013,spring,quiz2,s23f81012,GrowingSquares,7,7,17.785714285714285,-0.9225522583714156
2013,spring,quiz2,s407c0b0f,GrowingSquares,7,7,28.071428571428573,1.5590328949066152
2013,spring,quiz2,s57c38b49,GrowingSquares,7,7,22.214285714285715,0.1459080159566257
